h^0:
2 0 1       1
h^1:
2 1 1   0 1    1
h^2:
2 4 1   0 1 1 2 1 2 1 3    -2/45
2 4 1   0 1 1 2 1 3 1 3    -1/30
2 4 1   0 1 1 2 1 3 1 4    1/45
2 4 1   0 1 0 1 0 5 1 4    -1/12
2 4 1   0 1 0 1 0 2 1 4    -1/6
2 4 1   0 1 0 1 0 5 1 2    -1/6
2 4 1   0 1 0 1 0 2 1 3    -1/9
2 4 1   0 1 0 2 0 2 0 2    1/30
2 4 1   0 1 0 2 0 2 0 3    2/45
2 4 1   0 1 0 2 0 3 0 3    1/30
2 4 1   0 1 0 2 0 3 0 4    -1/45
2 4 1   0 1 0 1 1 2 2 4    -1/6
2 4 1   0 1 0 4 1 3 1 3    1/6
2 4 1   0 1 0 4 1 3 1 2    1/18
2 4 1   0 1 0 1 1 2 2 3    -1/9
2 4 1   0 1 0 1 1 2 3 4    -1/18
2 4 1   0 1 0 2 1 2 1 2    1/30
2 4 1   0 1 0 4 1 2 1 2    13/90
2 4 1   0 1 0 2 1 2 1 4    -1/45
2 4 1   0 1 0 4 1 2 1 4    -1/30
2 4 1   0 1 0 4 1 5 1 2    1/90
2 4 1   0 1 0 2 1 2 1 3    1/30
2 4 1   0 1 0 4 1 2 1 3    1/15
2 4 1   0 1 0 2 1 3 1 3    1/15
2 4 1   0 1 0 2 1 3 1 4    1/90
2 4 1   0 1 0 1 0 2 2 4    -1/6
2 4 1   0 1 0 4 1 3 0 4    -1/6
2 4 1   0 1 0 2 0 5 1 4    -1/18
2 4 1   0 1 0 1 0 2 2 3    -1/9
2 4 1   0 1 0 1 0 2 3 4    -1/18
2 4 1   0 1 0 2 0 2 1 2    -1/30
2 4 1   0 1 0 2 0 2 1 3    -13/90
2 4 1   0 1 0 2 0 3 1 2    1/45
2 4 1   0 1 0 2 0 3 1 3    1/30
2 4 1   0 1 0 2 0 3 1 4    -1/90
2 4 1   0 1 0 2 0 5 1 2    -1/30
2 4 1   0 1 0 2 0 5 1 3    -1/15
2 4 1   0 1 0 4 1 2 0 4    -1/15
2 4 1   0 1 0 4 0 5 1 2    -1/90
2 4 1   0 1 1 2 1 2 2 3    7/90
2 4 1   0 1 1 2 1 3 2 3    -1/90
2 4 1   0 1 1 2 1 3 2 4    1/30
2 4 1   0 1 1 2 1 3 3 4    2/45
2 4 1   0 1 1 2 1 5 2 3    1/30
2 4 1   0 1 1 2 1 5 2 4    1/45
2 4 1   0 1 1 2 1 5 3 4    -1/90
2 4 1   0 1 1 4 1 5 2 3    -1/90
2 4 1   0 1 1 4 1 5 2 4    -1/90
2 4 1   0 1 1 4 2 3 1 4    1/30
2 4 1   0 3 1 4 1 5 1 2    1/90
2 4 1   0 3 1 4 1 2 1 3    1/90
2 4 1   0 3 1 2 1 3 1 4    1/90
2 4 1   0 3 1 4 1 2 1 4    -1/30
2 4 1   0 3 1 4 1 2 1 2    -1/45
2 4 1   0 3 1 2 1 3 1 3    -1/60
2 4 1   0 3 1 2 1 2 1 3    -1/45
2 4 1   0 3 1 2 1 2 1 4    -1/45
2 4 1   0 3 1 2 1 2 1 2    -1/20
2 4 1   0 1 0 2 0 2 2 3    -7/90
2 4 1   0 1 0 2 0 3 2 3    1/90
2 4 1   0 1 0 2 0 3 2 4    -1/30
2 4 1   0 1 0 2 0 3 3 4    -2/45
2 4 1   0 1 0 2 0 5 2 3    -1/30
2 4 1   0 1 0 2 0 5 2 4    -1/45
2 4 1   0 1 0 2 0 5 3 4    1/90
2 4 1   0 1 0 4 0 5 2 3    1/90
2 4 1   0 1 0 4 0 5 2 4    1/90
2 4 1   0 1 0 4 2 3 0 4    -1/30
2 4 1   0 3 0 4 0 5 1 2    1/90
2 4 1   0 3 0 4 0 5 1 3    1/90
2 4 1   0 3 0 4 0 5 1 4    1/90
2 4 1   0 3 0 4 1 2 0 3    -1/30
2 4 1   0 3 0 4 1 2 0 4    -1/45
2 4 1   0 3 0 4 1 3 0 3    -1/60
2 4 1   0 3 0 4 1 3 0 4    -1/45
2 4 1   0 3 0 4 1 5 0 4    -1/45
2 4 1   0 3 1 2 0 3 0 3    -1/20
2 4 1   0 3 1 2 2 3 2 3    1/45+8*w_4_108
2 4 1   0 3 1 2 2 3 2 4    23/360-8*w_4_100+16*w_4_103+12*w_4_108
2 4 1   0 3 1 2 2 3 3 4    -23/360+8*w_4_100-16*w_4_103-12*w_4_108
2 4 1   0 3 1 2 2 5 3 4    -19/180+16*w_4_100-32*w_4_103-16*w_4_108
2 4 1   0 3 1 4 2 3 2 3    16*w_4_125
2 4 1   0 3 2 4 1 2 2 4    16*w_4_125
2 4 1   0 3 1 4 2 3 2 4    29/360-16*w_4_109+8*w_4_100-16*w_4_103-16*w_4_125+20*w_4_108
2 4 1   0 3 2 4 1 2 3 4    29/360-16*w_4_109+8*w_4_100-16*w_4_103-16*w_4_125+20*w_4_108
2 4 1   0 3 1 4 2 3 3 4    -1/40+8*w_4_109+8*w_4_104+16*w_4_103+16*w_4_125-12*w_4_108
2 4 1   0 3 2 4 1 2 2 3    1/40-8*w_4_109-8*w_4_104-16*w_4_103-16*w_4_125+12*w_4_108
2 4 1   0 3 1 4 2 5 2 3    7/120+16*w_4_119-8*w_4_109-8*w_4_100+16*w_4_103+8*w_4_107+16*w_4_125+12*w_4_108
2 4 1   0 3 4 5 1 2 2 4    -7/120-16*w_4_119+8*w_4_109+8*w_4_100-16*w_4_103-8*w_4_107-16*w_4_125-12*w_4_108
2 4 1   0 3 1 4 2 5 2 4    23/360+8*w_4_119-16*w_4_109-4*w_4_100+8*w_4_101-20*w_4_104+8*w_4_103-8*w_4_102+4*w_4_107-16*w_4_125+16*w_4_108
2 4 1   0 3 4 5 1 2 3 4    -23/360-8*w_4_119+16*w_4_109+4*w_4_100-8*w_4_101+20*w_4_104-8*w_4_103+8*w_4_102-4*w_4_107+16*w_4_125-16*w_4_108
2 4 1   0 3 1 4 2 5 3 4    -1/15+8*w_4_109+8*w_4_101+8*w_4_103+16*w_4_125-16*w_4_108
2 4 1   0 3 4 5 1 2 2 3    -1/15+8*w_4_109+8*w_4_101+8*w_4_103+16*w_4_125-16*w_4_108
2 4 1   0 3 1 4 3 5 2 3    -2/45+8*w_4_119-4*w_4_100+4*w_4_104-8*w_4_102+4*w_4_107-4*w_4_108
2 4 1   0 3 2 4 2 5 1 2    2/45-8*w_4_119+4*w_4_100-4*w_4_104+8*w_4_102-4*w_4_107+4*w_4_108
2 4 1   0 3 1 4 3 5 2 4    -7/90+8*w_4_109-8*w_4_100-8*w_4_104+16*w_4_103-16*w_4_102-16*w_4_108
2 4 1   0 3 2 4 3 5 1 2    7/90-8*w_4_109+8*w_4_100+8*w_4_104-16*w_4_103+16*w_4_102+16*w_4_108
2 4 1   0 3 2 4 1 3 2 3    1/120-8*w_4_109-24*w_4_104+16*w_4_103+4*w_4_108
2 4 1   0 3 2 4 1 3 3 4    1/120-8*w_4_109-24*w_4_104+16*w_4_103+4*w_4_108
2 4 1   0 3 2 4 1 3 2 4    -1/90-16*w_4_109+16*w_4_100-80*w_4_104+32*w_4_103
2 4 1   0 3 2 4 1 5 2 3    8*w_4_119-8*w_4_109-4*w_4_100-8*w_4_101+4*w_4_104-8*w_4_103-8*w_4_102+4*w_4_107+4*w_4_108
