h^0:
2 0 1       1
h^1:
2 1 1   0 1    1
h^2:
2 4 1   0 3 1 2 2 3 2 4    23/360+16*w_4_103+12*w_4_108-g_4_10-8*w_4_100
2 4 1   0 3 1 2 2 3 3 4    -23/360-16*w_4_103-12*w_4_108+g_4_10+8*w_4_100
2 4 1   0 3 1 2 2 5 3 4    -19/180-32*w_4_103-2*g_4_12-16*w_4_108+16*w_4_100
2 4 1   0 3 1 4 2 3 2 3    -g_4_21+16*w_4_125
2 4 1   0 3 2 4 1 2 2 4    -g_4_21+16*w_4_125
2 4 1   0 3 1 4 2 3 2 4    29/360-16*w_4_103-g_4_22-16*w_4_125+20*w_4_108-16*w_4_109+8*w_4_100
2 4 1   0 3 2 4 1 2 3 4    29/360-16*w_4_103-g_4_22-16*w_4_125+20*w_4_108-16*w_4_109+8*w_4_100
2 4 1   0 3 1 4 2 3 3 4    -1/40+8*w_4_104+16*w_4_103+16*w_4_125-12*w_4_108-g_4_23+8*w_4_109
2 4 1   0 3 2 4 1 2 2 3    1/40-8*w_4_104-16*w_4_103-16*w_4_125+12*w_4_108+g_4_23-8*w_4_109
2 4 1   0 3 1 4 2 5 2 3    7/120+16*w_4_103-g_4_25+8*w_4_107+16*w_4_125+12*w_4_108+16*w_4_119-8*w_4_109-8*w_4_100
2 4 1   0 3 4 5 1 2 2 4    -7/120-16*w_4_103+g_4_25-8*w_4_107-16*w_4_125-12*w_4_108-16*w_4_119+8*w_4_109+8*w_4_100
2 4 1   0 3 1 4 2 5 2 4    23/360+8*w_4_101-20*w_4_104+8*w_4_103+4*w_4_107-16*w_4_125+16*w_4_108-g_4_26+8*w_4_119-8*w_4_102-16*w_4_109-4*w_4_100
2 4 1   0 3 4 5 1 2 3 4    -23/360-8*w_4_101+20*w_4_104-8*w_4_103-4*w_4_107+16*w_4_125-16*w_4_108+g_4_26-8*w_4_119+8*w_4_102+16*w_4_109+4*w_4_100
2 4 1   0 3 1 4 2 5 3 4    -1/15+8*w_4_101+8*w_4_103+16*w_4_125-16*w_4_108+8*w_4_109-g_4_27
2 4 1   0 3 4 5 1 2 2 3    -1/15+8*w_4_101+8*w_4_103+16*w_4_125-16*w_4_108+8*w_4_109-g_4_27
2 4 1   0 3 1 4 3 5 2 3    -2/45+4*w_4_104+4*w_4_107-g_4_29-4*w_4_108+8*w_4_119-8*w_4_102-4*w_4_100
2 4 1   0 3 2 4 2 5 1 2    2/45-4*w_4_104-4*w_4_107+g_4_29+4*w_4_108-8*w_4_119+8*w_4_102+4*w_4_100
2 4 1   0 3 1 4 3 5 2 4    -7/90-8*w_4_104+16*w_4_103-16*w_4_108-16*w_4_102+8*w_4_109-g_4_30-8*w_4_100
2 4 1   0 3 2 4 3 5 1 2    7/90+8*w_4_104-16*w_4_103+16*w_4_108+16*w_4_102-8*w_4_109+g_4_30+8*w_4_100
2 4 1   0 3 2 4 1 3 2 3    1/120-24*w_4_104+16*w_4_103-g_4_32+4*w_4_108-8*w_4_109
2 4 1   0 3 2 4 1 3 3 4    1/120-24*w_4_104+16*w_4_103-g_4_32+4*w_4_108-8*w_4_109
2 4 1   0 3 2 4 1 3 2 4    -1/90-80*w_4_104+32*w_4_103-2*g_4_33-16*w_4_109+16*w_4_100
2 4 1   0 3 2 4 1 5 2 3    -8*w_4_101-g_4_34+4*w_4_104-8*w_4_103+4*w_4_107+4*w_4_108+8*w_4_119-8*w_4_102-8*w_4_109-4*w_4_100
2 4 1   0 3 4 5 1 5 2 4    8*w_4_101+g_4_34-4*w_4_104+8*w_4_103-4*w_4_107-4*w_4_108-8*w_4_119+8*w_4_102+8*w_4_109+4*w_4_100
2 4 1   0 3 2 4 1 5 2 4    1/360-48*w_4_104+32*w_4_103-2*g_4_35-16*w_4_102-16*w_4_109
2 4 1   0 3 2 4 1 5 3 4    7/90+8*w_4_101-40*w_4_104+40*w_4_103+12*w_4_108-g_4_36-16*w_4_109
2 4 1   0 3 2 4 2 5 1 4    7/90+8*w_4_101-40*w_4_104+40*w_4_103+12*w_4_108-g_4_36-16*w_4_109
2 4 1   0 3 2 4 2 5 1 3    13/360-8*w_4_101-32*w_4_104+24*w_4_103-g_4_42+4*w_4_108-8*w_4_109+8*w_4_100
2 4 1   0 3 4 5 1 3 2 4    -13/360+8*w_4_101+32*w_4_104-24*w_4_103+g_4_42-4*w_4_108+8*w_4_109-8*w_4_100
2 4 1   0 3 2 4 3 5 1 3    1/20-8*w_4_101-16*w_4_104+24*w_4_103+8*w_4_108-g_4_46-8*w_4_109
2 4 1   0 3 4 5 1 3 2 3    -1/20+8*w_4_101+16*w_4_104-24*w_4_103-8*w_4_108+g_4_46+8*w_4_109
2 4 1   0 3 2 4 3 5 1 4    11/120-2*g_4_47-16*w_4_104+32*w_4_103+16*w_4_108-16*w_4_109
2 4 1   0 3 4 5 1 5 2 3    -11/180+8*w_4_104-2*g_4_51-8*w_4_107-16*w_4_108-16*w_4_119+16*w_4_109+8*w_4_100
2 4 1   0 3 1 2 2 5 2 4    -g_4_11
2 4 1   0 3 1 2 3 5 3 4    -g_4_11
2 4 1   0 3 1 4 3 5 3 4    -g_4_31
2 4 1   0 3 2 4 2 3 1 2    -g_4_31
2 4 1   0 3 2 4 2 3 1 3    -g_4_37
2 4 1   0 3 4 5 1 3 3 4    g_4_37
2 4 1   0 3 2 4 2 3 1 4    -g_4_38
2 4 1   0 3 4 5 1 5 3 4    g_4_38
2 4 1   0 1 1 2 2 3 2 3    -1/12-8*w_4_108
2 4 1   0 1 1 2 2 3 2 4    16*w_4_103
2 4 1   0 1 1 2 2 3 3 4    13/180-24*w_4_104-8*w_4_107+8*w_4_100
2 4 1   0 1 1 2 2 5 3 4    -1/90-24*w_4_104-16*w_4_103-8*w_4_107-8*w_4_108+8*w_4_100
2 4 1   0 1 1 4 2 3 2 3    -11/90-40*w_4_104+16*w_4_103-8*w_4_107-24*w_4_108+8*w_4_100
2 4 1   0 1 1 4 2 3 2 4    16*w_4_104
2 4 1   0 1 1 4 2 3 3 4    1/12+8*w_4_108
2 4 1   0 1 1 4 2 5 2 3    16*w_4_103
2 4 1   0 1 1 4 2 5 2 4    1/90+24*w_4_104+8*w_4_107+8*w_4_108-8*w_4_100
2 4 1   0 1 1 4 2 5 3 4    -16*w_4_103
2 4 1   0 1 1 4 3 5 2 3    1/36+16*w_4_104-16*w_4_103+8*w_4_108
2 4 1   0 1 1 4 3 5 2 4    -16*w_4_104
2 4 1   0 3 1 4 1 2 3 4    1/5-48*w_4_104-32*w_4_125+48*w_4_108-32*w_4_109+16*w_4_100-g_4_14
2 4 1   0 3 1 4 1 2 2 3    -1/30-8*w_4_104-32*w_4_103-8*w_4_107-32*w_4_125-8*w_4_108+8*w_4_100-g_4_14
2 4 1   0 3 1 4 1 2 2 4    -1/180+16*w_4_104+16*w_4_103+32*w_4_125-8*w_4_108+16*w_4_109+g_4_14
2 4 1   0 3 1 2 1 3 3 4    -1/6+64*w_4_104-g_4_5-64*w_4_103-32*w_4_108+32*w_4_109
2 4 1   0 3 1 2 1 3 2 4    -1/15+72*w_4_104-48*w_4_103-8*w_4_107-g_4_6-24*w_4_108+32*w_4_109-24*w_4_100
2 4 1   0 3 1 2 1 3 2 3    1/12+8*w_4_108+g_4_4
2 4 1   0 3 4 5 1 2 1 4    -3/20+40*w_4_104-16*w_4_103-8*w_4_107+g_4_16-32*w_4_108-16*w_4_119+32*w_4_109+8*w_4_100
2 4 1   0 3 2 4 1 5 1 2    -1/90+24*w_4_104-16*w_4_103-8*w_4_107-8*w_4_108+16*w_4_102+16*w_4_109+g_4_17+8*w_4_100
2 4 1   0 3 2 4 1 2 1 4    1/36+16*w_4_104+g_4_18-16*w_4_103+8*w_4_108
2 4 1   0 3 1 4 1 5 2 3    7/180-8*w_4_104-16*w_4_103+8*w_4_107-g_4_16+16*w_4_108+16*w_4_119-16*w_4_109+8*w_4_100
2 4 1   0 3 1 4 2 5 1 3    -16*w_4_100
2 4 1   0 3 2 4 1 5 1 3    -16*w_4_101+g_4_24
2 4 1   0 3 1 4 1 5 2 4    -16*w_4_102-g_4_17
2 4 1   0 3 1 4 2 3 1 3    -16*w_4_103-g_4_19
2 4 1   0 3 2 4 1 3 1 4    -16*w_4_104+g_4_28
2 4 1   0 3 1 2 1 2 2 3    -16*w_4_108-g_4_4
2 4 1   0 3 1 2 1 2 3 4    -g_4_6+16*w_4_109
2 4 1   0 3 1 2 1 2 2 4    -1/18+32*w_4_104-g_4_5-32*w_4_103-16*w_4_108+16*w_4_109
2 4 1   0 3 1 2 1 5 2 3    17/180-40*w_4_104+32*w_4_103+8*w_4_107+16*w_4_108-16*w_4_109+8*w_4_100
2 4 1   0 3 1 2 1 5 3 4    -7/36-g_4_8+64*w_4_104-64*w_4_103-32*w_4_108+32*w_4_109
2 4 1   0 3 1 2 1 5 2 4    -1/12-g_4_8+32*w_4_104-32*w_4_103-16*w_4_108+16*w_4_109
2 4 1   0 3 1 4 2 5 1 2    g_4_16-16*w_4_119
2 4 1   0 3 1 4 3 5 1 2    1/6-32*w_4_103+32*w_4_108+16*w_4_102-16*w_4_109+g_4_17+16*w_4_100
2 4 1   0 3 1 4 2 3 1 2    -1/18-32*w_4_104-g_4_18+32*w_4_103-16*w_4_108
2 4 1   0 3 2 4 1 2 1 2    32*w_4_103+g_4_19
2 4 1   0 3 2 4 1 2 1 3    7/180-8*w_4_104+16*w_4_103+8*w_4_107+16*w_4_108+g_4_20-16*w_4_109-8*w_4_100
2 4 1   0 3 1 4 2 3 1 4    1/9-32*w_4_104+16*w_4_103+16*w_4_108-g_4_20-16*w_4_109+16*w_4_100
2 4 1   0 3 4 5 1 2 1 3    -1/9+16*w_4_101+48*w_4_104-32*w_4_103-16*w_4_108+16*w_4_109-g_4_24
2 4 1   0 3 1 4 2 5 1 4    1/9+16*w_4_101-48*w_4_104+32*w_4_103+16*w_4_108-16*w_4_109-g_4_24
2 4 1   0 3 2 4 1 3 1 2    32*w_4_104-g_4_28
2 4 1   0 3 2 4 1 3 1 3    1/9-32*w_4_104+32*w_4_103+16*w_4_108-16*w_4_109
2 4 1   0 3 1 4 1 3 3 4    -g_4_4
2 4 1   0 3 1 4 1 3 2 3    g_4_5
2 4 1   0 3 1 4 1 3 2 4    g_4_6
2 4 1   0 3 2 4 1 5 1 4    g_4_8
2 4 1   0 3 1 4 1 5 3 4    -g_4_18
2 4 1   0 3 1 4 3 5 1 3    g_4_19
2 4 1   0 3 4 5 1 3 1 4    g_4_20
2 4 1   0 3 1 4 3 5 1 4    -g_4_28
2 4 1   0 1 0 2 2 3 2 3    1/12+8*w_4_108
2 4 1   0 1 0 2 2 3 2 4    -16*w_4_103
2 4 1   0 1 0 2 2 3 3 4    -13/180+24*w_4_104+8*w_4_107-8*w_4_100
2 4 1   0 1 0 2 2 5 3 4    1/90+24*w_4_104+16*w_4_103+8*w_4_107+8*w_4_108-8*w_4_100
2 4 1   0 1 0 4 2 3 2 3    11/90+40*w_4_104-16*w_4_103+8*w_4_107+24*w_4_108-8*w_4_100
2 4 1   0 1 0 4 2 3 2 4    -16*w_4_104
2 4 1   0 1 0 4 2 3 3 4    -1/12-8*w_4_108
2 4 1   0 1 0 4 2 5 2 3    -16*w_4_103
2 4 1   0 1 0 4 2 5 2 4    -1/90-24*w_4_104-8*w_4_107-8*w_4_108+8*w_4_100
2 4 1   0 1 0 4 2 5 3 4    16*w_4_103
