h^0:
2 0 1       1
h^1:
2 1 1   0 1    1
h^2:
2 4 1   0 1 0 4 2 3 1 2    w_4_102
2 4 1   0 1 0 4 2 3 1 3    w_4_103
2 4 1   0 1 0 4 2 3 1 4    w_4_104
2 4 1   0 1 0 4 2 3 2 3    w_4_105
2 4 1   0 1 0 4 2 3 2 4    w_4_106
2 4 1   0 1 0 4 2 3 3 4    w_4_107
2 4 1   0 1 0 4 2 5 1 2    w_4_108
2 4 1   0 1 0 4 2 5 1 3    w_4_109
2 4 1   0 1 0 4 2 5 1 4    w_4_110
2 4 1   0 1 0 4 2 5 2 3    w_4_111
2 4 1   0 1 0 4 2 5 2 4    w_4_112
2 4 1   0 1 0 4 2 5 3 4    w_4_113
2 4 1   0 1 0 4 3 5 1 2    w_4_114
2 4 1   0 1 0 4 3 5 1 3    w_4_115
2 4 1   0 1 0 4 3 5 1 4    w_4_116
2 4 1   0 1 0 4 3 5 2 3    w_4_117
2 4 1   0 1 0 4 3 5 2 4    w_4_118
2 4 1   0 1 0 4 3 5 3 4    w_4_119
2 4 1   0 1 1 2 1 2 1 2    w_4_120
2 4 1   0 1 1 2 1 2 1 3    w_4_121
2 4 1   0 1 1 2 1 2 2 3    w_4_122
2 4 1   0 1 1 2 1 3 1 3    w_4_123
2 4 1   0 1 1 2 1 3 1 4    w_4_124
2 4 1   0 1 1 2 1 3 2 3    w_4_125
2 4 1   0 1 1 2 1 3 2 4    w_4_126
2 4 1   0 1 1 2 1 3 3 4    w_4_127
2 4 1   0 1 1 2 1 5 1 4    w_4_128
2 4 1   0 1 1 2 1 5 2 3    w_4_129
2 4 1   0 1 1 2 1 5 2 4    w_4_130
2 4 1   0 1 1 2 1 5 3 4    w_4_131
2 4 1   0 1 1 2 2 3 2 3    w_4_132
2 4 1   0 1 1 2 2 3 2 4    w_4_133
2 4 1   0 1 1 2 2 3 3 4    w_4_134
2 4 1   0 1 1 2 2 5 2 4    w_4_135
2 4 1   0 1 1 2 2 5 3 4    w_4_136
2 4 1   0 1 1 2 3 5 3 4    w_4_137
2 4 1   0 1 1 4 1 3 1 3    w_4_138
2 4 1   0 1 1 4 1 3 2 3    w_4_139
2 4 1   0 1 1 4 1 5 1 3    w_4_140
2 4 1   0 1 1 4 1 5 2 3    w_4_141
2 4 1   0 1 1 4 1 5 2 4    w_4_142
2 4 1   0 1 1 4 1 5 3 4    w_4_143
2 4 1   0 1 1 4 2 3 1 4    w_4_144
2 4 1   0 1 1 4 2 3 2 3    w_4_145
2 4 1   0 1 1 4 2 3 2 4    w_4_146
2 4 1   0 1 1 4 2 3 3 4    w_4_147
2 4 1   0 1 1 4 2 5 2 3    w_4_148
2 4 1   0 1 1 4 2 5 2 4    w_4_149
2 4 1   0 1 1 4 2 5 3 4    w_4_150
2 4 1   0 1 1 4 3 5 2 3    w_4_151
2 4 1   0 1 1 4 3 5 2 4    w_4_152
2 4 1   0 1 1 4 3 5 3 4    w_4_153
2 4 1   0 1 2 4 2 3 2 3    w_4_154
2 4 1   0 1 2 4 2 5 2 3    w_4_155
2 4 1   0 1 2 4 2 5 3 4    w_4_156
2 4 1   0 1 2 4 3 5 3 4    w_4_157
2 4 1   0 3 0 2 0 2 1 2    w_4_158
2 4 1   0 3 0 2 0 2 1 3    w_4_159
2 4 1   0 3 0 2 0 2 1 4    w_4_160
2 4 1   0 3 0 2 0 5 1 2    w_4_161
2 4 1   0 3 0 2 0 5 1 4    w_4_162
2 4 1   0 3 0 2 1 2 1 2    w_4_163
2 4 1   0 3 0 2 1 2 1 3    w_4_164
2 4 1   0 3 0 2 1 2 1 4    w_4_165
2 4 1   0 3 0 2 1 2 2 3    w_4_166
2 4 1   0 3 0 2 1 2 2 4    w_4_167
2 4 1   0 3 0 2 1 2 3 4    w_4_168
2 4 1   0 3 0 2 1 5 1 4    w_4_169
2 4 1   0 3 0 2 1 5 2 4    w_4_170
2 4 1   0 3 0 4 0 2 1 2    w_4_171
2 4 1   0 3 0 4 0 5 1 2    w_4_172
2 4 1   0 3 0 4 0 5 1 3    w_4_173
2 4 1   0 3 0 4 0 5 1 4    w_4_174
2 4 1   0 3 0 4 1 2 0 3    w_4_175
2 4 1   0 3 0 4 1 2 0 4    w_4_176
2 4 1   0 3 0 4 1 2 1 2    w_4_177
2 4 1   0 3 0 4 1 2 1 3    w_4_178
2 4 1   0 3 0 4 1 2 1 4    w_4_179
2 4 1   0 3 0 4 1 2 2 3    w_4_180
2 4 1   0 3 0 4 1 2 2 4    w_4_181
2 4 1   0 3 0 4 1 2 3 4    w_4_182
2 4 1   0 3 0 4 1 3 0 3    w_4_183
2 4 1   0 3 0 4 1 3 0 4    w_4_184
2 4 1   0 3 0 4 1 3 1 2    w_4_185
2 4 1   0 3 0 4 1 3 1 3    w_4_186
2 4 1   0 3 0 4 1 3 1 4    w_4_187
2 4 1   0 3 0 4 1 3 2 3    w_4_188
2 4 1   0 3 0 4 1 3 2 4    w_4_189
2 4 1   0 3 0 4 1 3 3 4    w_4_190
2 4 1   0 3 0 4 1 5 0 4    w_4_191
2 4 1   0 3 0 4 1 5 1 2    w_4_192
2 4 1   0 3 0 4 1 5 1 3    w_4_193
2 4 1   0 3 0 4 1 5 1 4    w_4_194
2 4 1   0 3 0 4 1 5 2 3    w_4_195
2 4 1   0 3 0 4 1 5 2 4    w_4_196
2 4 1   0 3 0 4 1 5 3 4    w_4_197
2 4 1   0 3 0 4 2 3 1 2    w_4_198
2 4 1   0 3 0 4 2 3 1 3    w_4_199
2 4 1   0 3 0 4 2 3 1 4    w_4_200
2 4 1   0 3 0 4 2 5 1 2    w_4_201
2 4 1   0 3 0 4 2 5 1 3    w_4_202
2 4 1   0 3 0 4 2 5 1 4    w_4_203
2 4 1   0 3 0 4 3 5 1 2    w_4_204
2 4 1   0 3 0 4 3 5 1 3    w_4_205
2 4 1   0 3 0 4 3 5 1 4    w_4_206
2 4 1   0 3 1 2 0 3 0 3    w_4_207
2 4 1   0 3 1 2 0 3 1 2    w_4_208
2 4 1   0 3 1 2 0 3 1 3    w_4_209
2 4 1   0 3 1 2 0 3 1 4    w_4_210
2 4 1   0 3 1 2 0 3 2 3    w_4_211
2 4 1   0 3 1 2 0 3 2 4    w_4_212
2 4 1   0 3 1 2 0 3 3 4    w_4_213
2 4 1   0 3 1 2 0 5 1 2    w_4_214
2 4 1   0 3 1 2 0 5 1 3    w_4_215
2 4 1   0 3 1 2 0 5 1 4    w_4_216
2 4 1   0 3 1 2 0 5 2 3    w_4_217
2 4 1   0 3 1 2 0 5 2 4    w_4_218
2 4 1   0 3 1 2 0 5 3 4    w_4_219
2 4 1   0 3 1 2 1 2 1 2    w_4_220
2 4 1   0 3 1 2 1 2 1 3    w_4_221
2 4 1   0 3 1 2 1 2 1 4    w_4_222
2 4 1   0 3 1 2 1 2 2 3    w_4_223
2 4 1   0 3 1 2 1 2 2 4    w_4_224
2 4 1   0 3 1 2 1 2 3 4    w_4_225
2 4 1   0 3 1 2 1 3 1 3    w_4_226
2 4 1   0 3 1 2 1 3 1 4    w_4_227
2 4 1   0 3 1 2 1 3 2 3    w_4_228
2 4 1   0 3 1 2 1 3 2 4    w_4_229
2 4 1   0 3 1 2 1 3 3 4    w_4_230
2 4 1   0 3 1 2 1 5 1 4    w_4_231
2 4 1   0 3 1 2 1 5 2 3    w_4_232
2 4 1   0 3 1 2 1 5 2 4    w_4_233
2 4 1   0 3 1 2 1 5 3 4    w_4_234
2 4 1   0 3 1 2 2 3 2 3    w_4_235
2 4 1   0 3 1 2 2 3 2 4    w_4_236
2 4 1   0 3 1 2 2 3 3 4    w_4_237
2 4 1   0 3 1 2 2 5 2 4    w_4_238
2 4 1   0 3 1 2 2 5 3 4    w_4_239
2 4 1   0 3 1 2 3 5 3 4    w_4_240
2 4 1   0 3 1 4 0 5 1 2    w_4_241
2 4 1   0 3 1 4 0 5 1 3    w_4_242
2 4 1   0 3 1 4 0 5 2 3    w_4_243
2 4 1   0 3 1 4 0 5 2 4    w_4_244
2 4 1   0 3 1 4 0 5 3 4    w_4_245
2 4 1   0 3 1 4 1 2 0 3    w_4_246
2 4 1   0 3 1 4 1 2 1 2    w_4_247
2 4 1   0 3 1 4 1 2 1 3    w_4_248
2 4 1   0 3 1 4 1 2 1 4    w_4_249
2 4 1   0 3 1 4 1 2 2 3    w_4_250
2 4 1   0 3 1 4 1 2 2 4    w_4_251
2 4 1   0 3 1 4 1 2 3 4    w_4_252
2 4 1   0 3 1 4 1 3 0 3    w_4_253
2 4 1   0 3 1 4 1 3 0 4    w_4_254
2 4 1   0 3 1 4 1 3 1 2    w_4_255
2 4 1   0 3 1 4 1 3 1 3    w_4_256
2 4 1   0 3 1 4 1 3 1 4    w_4_257
2 4 1   0 3 1 4 1 3 2 3    w_4_258
2 4 1   0 3 1 4 1 3 2 4    w_4_259
2 4 1   0 3 1 4 1 3 3 4    w_4_260
2 4 1   0 3 1 4 1 5 1 2    w_4_261
2 4 1   0 3 1 4 1 5 1 3    w_4_262
2 4 1   0 3 1 4 1 5 1 4    w_4_263
2 4 1   0 3 1 4 1 5 2 3    w_4_264
2 4 1   0 3 1 4 1 5 2 4    w_4_265
2 4 1   0 3 1 4 1 5 3 4    w_4_266
2 4 1   0 3 1 4 2 3 0 3    w_4_267
2 4 1   0 3 1 4 2 3 0 4    w_4_268
2 4 1   0 3 1 4 2 3 1 2    w_4_269
2 4 1   0 3 1 4 2 3 1 3    w_4_270
2 4 1   0 3 1 4 2 3 1 4    w_4_271
2 4 1   0 3 1 4 2 3 2 3    w_4_272
2 4 1   0 3 1 4 2 3 2 4    w_4_273
2 4 1   0 3 1 4 2 3 3 4    w_4_274
2 4 1   0 3 1 4 2 5 0 4    w_4_275
2 4 1   0 3 1 4 2 5 1 2    w_4_276
2 4 1   0 3 1 4 2 5 1 3    w_4_277
2 4 1   0 3 1 4 2 5 1 4    w_4_278
