h^0:
# 0 0 
2 0 1       1
h^1:
# 1 1 
2 1 1   0 1    1
2 4 1   0 3 1 4 1 5 1 2    16*w_4_72
2 4 1   0 3 1 4 1 2 1 3    16*w_4_73
2 4 1   0 3 1 2 1 3 1 4    16*w_4_74
2 4 1   0 3 1 4 1 2 1 4    16*w_4_75
2 4 1   0 3 1 4 1 2 1 2    16*w_4_76
2 4 1   0 3 1 2 1 3 1 3    8*w_4_83
2 4 1   0 3 1 2 1 2 1 3    16*w_4_84
2 4 1   0 3 1 2 1 2 1 4    16*w_4_91
2 4 1   0 3 1 2 1 2 1 2    8*w_4_105
# 3 1 
2 4 1   0 1 0 2 0 2 2 3    16*w_4_10
2 4 0   0 1 0 2 0 2 3 4    0
2 4 1   0 1 0 2 0 3 2 3    16*w_4_16
2 4 1   0 1 0 2 0 3 2 4    16*w_4_17
2 4 1   0 1 0 2 0 3 3 4    16*w_4_18
2 4 1   0 1 0 2 0 5 2 3    16*w_4_21
2 4 1   0 1 0 2 0 5 2 4    16*w_4_22
2 4 1   0 1 0 2 0 5 3 4    16*w_4_23
2 4 1   0 1 0 4 0 3 2 3    16*w_4_40
2 4 1   0 1 0 4 0 5 2 3    16*w_4_41
2 4 1   0 1 0 4 0 5 2 4    16*w_4_42
2 4 1   0 1 0 4 2 3 0 4    16*w_4_46
2 4 1   0 3 0 2 0 2 1 2    16*w_4_60
2 4 1   0 3 0 2 0 2 1 3    16*w_4_61
2 4 1   0 3 0 2 0 2 1 4    16*w_4_62
2 4 1   0 3 0 2 0 5 1 2    16*w_4_63
2 4 1   0 3 0 4 0 2 1 2    16*w_4_71
2 4 1   0 3 0 4 0 5 1 2    16*w_4_72
2 4 1   0 3 0 4 0 5 1 3    16*w_4_73
2 4 1   0 3 0 4 0 5 1 4    16*w_4_74
2 4 1   0 3 0 4 1 2 0 3    16*w_4_75
2 4 1   0 3 0 4 1 2 0 4    16*w_4_76
2 4 1   0 3 0 4 1 3 0 3    8*w_4_83
2 4 1   0 3 0 4 1 3 0 4    16*w_4_84
2 4 1   0 3 0 4 1 5 0 4    16*w_4_91
2 4 1   0 3 1 2 0 3 0 3    8*w_4_105
# 1 1 
2 4 1   0 1 2 4 2 3 2 3    16*w_4_56
2 4 0   0 1 2 4 2 3 3 4    0
2 4 1   0 1 2 4 2 5 2 3    16/3*w_4_57
2 4 1   0 1 2 4 2 5 3 4    16*w_4_58
2 4 0   0 1 2 4 3 5 2 4    0
2 4 1   0 1 2 4 3 5 3 4    16*w_4_59
2 4 1   0 3 1 2 2 3 2 3    8*w_4_114
2 4 1   0 3 1 2 2 3 2 4    16*w_4_115
2 4 -1   0 3 1 2 2 3 3 4    16*w_4_115
2 4 1   0 3 1 2 2 5 2 4    8*w_4_116
2 4 1   0 3 1 2 3 5 3 4    8*w_4_116
2 4 1   0 3 1 2 2 5 3 4    16*w_4_117
2 4 1   0 3 1 4 2 3 2 3    16*w_4_125
2 4 1   0 3 2 4 1 2 2 4    16*w_4_125
2 4 1   0 3 1 4 2 3 2 4    16*w_4_126
2 4 1   0 3 2 4 1 2 3 4    16*w_4_126
2 4 1   0 3 1 4 2 3 3 4    16*w_4_127
2 4 -1   0 3 2 4 1 2 2 3    16*w_4_127
2 4 1   0 3 1 4 2 5 2 3    16*w_4_130
2 4 -1   0 3 4 5 1 2 2 4    16*w_4_130
2 4 1   0 3 1 4 2 5 2 4    16*w_4_131
2 4 -1   0 3 4 5 1 2 3 4    16*w_4_131
2 4 1   0 3 1 4 2 5 3 4    16*w_4_132
2 4 1   0 3 4 5 1 2 2 3    16*w_4_132
2 4 1   0 3 1 4 3 5 2 3    16*w_4_135
2 4 -1   0 3 2 4 2 5 1 2    16*w_4_135
2 4 1   0 3 1 4 3 5 2 4    16*w_4_136
2 4 -1   0 3 2 4 3 5 1 2    16*w_4_136
2 4 1   0 3 1 4 3 5 3 4    16*w_4_137
2 4 1   0 3 2 4 2 3 1 2    16*w_4_137
2 4 1   0 3 2 4 1 3 2 3    16*w_4_139
2 4 1   0 3 2 4 1 3 3 4    16*w_4_139
2 4 1   0 3 2 4 1 3 2 4    16*w_4_140
2 4 1   0 3 2 4 1 5 2 3    16*w_4_141
2 4 -1   0 3 4 5 1 5 2 4    16*w_4_141
2 4 1   0 3 2 4 1 5 2 4    16*w_4_142
2 4 1   0 3 2 4 1 5 3 4    16*w_4_143
2 4 1   0 3 2 4 2 5 1 4    16*w_4_143
2 4 1   0 3 2 4 2 3 1 3    16*w_4_144
2 4 -1   0 3 4 5 1 3 3 4    16*w_4_144
2 4 1   0 3 2 4 2 3 1 4    16*w_4_145
2 4 -1   0 3 4 5 1 5 3 4    16*w_4_145
2 4 1   0 3 2 4 2 5 1 3    16*w_4_146
2 4 -1   0 3 4 5 1 3 2 4    16*w_4_146
2 4 1   0 3 2 4 3 5 1 3    16*w_4_147
2 4 -1   0 3 4 5 1 3 2 3    16*w_4_147
2 4 1   0 3 2 4 3 5 1 4    16*w_4_148
2 4 1   0 3 4 5 1 5 2 3    16*w_4_149
# 2 2 
2 4 1   0 1 0 1 2 5 2 4    0
2 4 1   0 1 0 4 1 3 3 4    -1/6
2 4 1   0 1 0 4 1 5 3 4    0
2 4 -1   0 1 0 4 3 5 1 3    0
2 4 1   0 1 0 4 3 5 1 4    0
2 4 1   0 3 1 2 0 5 1 4    1/72
2 4 1   0 1 0 1 2 3 2 3    4*w_4_3
2 4 1   0 1 0 1 2 3 2 4    16*w_4_4
2 4 1   0 1 0 1 2 5 3 4    8*w_4_5
